train,Stations
d27,北京-北戴河-秦皇岛-山海关-葫芦岛北-沈阳北-哈尔滨西
d2706,乌鲁木齐-吐鲁番北-鄯善北-吐哈-哈密-柳园南-嘉峪关南-酒泉南-高台南-临泽南-张掖西-民乐-门源-西宁-兰州西
d2708,乌鲁木齐-吐鲁番北-哈密-柳园南-嘉峪关南-西宁-兰州西-天水南-宝鸡南-西安北
d2711,兰州西-西宁-大通西-民乐-张掖西-临泽南-酒泉南-嘉峪关南-玉门-柳园南-哈密-吐哈-鄯善北-吐鲁番北-乌鲁木齐
d2712,乌鲁木齐-吐鲁番北-鄯善北-哈密-柳园南-玉门-嘉峪关南-酒泉南-临泽南-张掖西-西宁-兰州西
d28,哈尔滨西-长春西-开原西-沈阳北-台安-绥中北-秦皇岛-北戴河-北京
d2803,贵阳北-从江-三江南-桂林西-钟山西-贺州-广宁-肇庆东-三水南-广州南
d2804,广州南-佛山西-怀集-贺州-阳朔-桂林西-五通-从江-三都县-贵定县-贵阳北
d2806,广州南-肇庆东-钟山西-恭城-桂林西-榕江-都匀东-贵阳北
d2807,贵阳北-都匀东-榕江-从江-五通-桂林西-钟山西-贺州-肇庆东-佛山西-广州南
d2809,贵阳北-龙里北-三都县-从江-桂林西-恭城-钟山西-贺州-肇庆东-广州南
d2811,毕节-黔西-贵阳北-龙洞堡-都匀东-桂林西-阳朔-钟山西-贺州-广宁-佛山西-广州南
d2812,广州南-肇庆东-广宁-恭城-阳朔-桂林西-都匀东-贵阳北
d2818,广州南-三水南-广宁-贺州-恭城-桂林西-从江-三都县-都匀东-龙洞堡-贵阳北
d2823,贵阳北-龙洞堡-都匀东-桂林西-钟山西-肇庆东-佛山西-广州南
d2825,贵阳北-榕江-桂林西-阳朔-钟山西-贺州-肇庆东-佛山西-广州南
d2830,广州南-贺州-桂林西-三江南-都匀东-龙洞堡-贵阳东-黔西-大方-宜宾西
d2831,贵阳北-都匀东-三都县-从江-桂林西-贺州-怀集-广宁-广州南
